ID,Costo,Descuento,Peso,Tiempo_Exacto
1,177,44,1233,1
2,216,59,3088,1
3,183,48,3374,1
4,176,10,1177,1
5,184,46,2484,1
6,162,12,1417,1
7,250,3,2371,1
8,233,48,2804,1
9,150,11,1861,1
10,164,29,1187,1
11,189,12,2888,1
12,232,32,3253,1
13,198,1,3667,1
14,275,29,2602,1
15,152,43,1009,1
16,227,45,2707,1
17,143,6,1194,1
18,227,36,3952,1
19,239,18,2495,1
20,145,45,1059,1
21,161,38,1521,1
22,232,51,2899,1
23,156,2,1750,1
24,211,12,3922,1
25,251,28,3561,1
26,225,29,3496,1
27,172,24,1066,1
28,162,31,1435,1
29,234,44,3134,1
30,183,36,3819,1
31,266,38,2741,1
32,257,61,3341,1
33,223,22,3795,1
34,234,4,3261,1
35,227,22,2460,1
36,149,44,1811,1
37,137,62,1477,1
38,181,16,3605,1
39,215,56,3905,1
40,269,45,2383,1
41,227,15,3798,1
42,139,61,1265,1
43,137,38,1647,1
44,174,44,1556,1
45,151,29,1328,1
46,210,9,2944,1
47,169,32,1245,1
48,160,32,1576,1
49,190,9,3753,1
50,216,40,2146,1
51,183,37,2042,1
52,141,22,1735,1
53,165,44,1320,1
54,170,41,1128,1
55,203,12,3539,1
56,246,46,2437,1
57,238,61,3096,1
58,193,29,3453,1
59,141,41,1367,1
60,150,17,1923,1
61,221,64,2794,1
62,179,52,1158,1
63,105,62,1292,1
64,177,61,1880,1
65,261,49,3045,1
66,202,49,2881,1
67,109,15,1710,1
68,158,6,1878,1
69,231,6,2512,1
70,206,39,2929,1
71,187,14,3849,1
72,230,2,2229,1
73,232,33,2998,1
74,215,21,3984,1
75,238,13,2442,1
76,266,23,3775,1
77,158,36,1788,1
78,113,43,1518,1
79,223,18,3959,1
80,257,56,3711,1
81,180,49,1942,1
82,132,18,1759,1
83,217,26,2875,1
84,162,31,1364,1
85,197,40,2710,1
86,197,13,2148,1
87,185,44,2910,1
88,278,3,2974,1
89,229,49,2339,1
90,186,57,3880,1
91,174,41,1085,1
92,286,18,3163,1
93,175,7,1188,1
94,219,17,3387,1
95,213,35,2343,1
96,235,57,2034,1
97,149,18,1225,1
98,271,8,2401,1
99,144,5,1104,1
100,145,21,1617,1
101,143,59,1837,1
102,227,53,2624,1
103,213,29,2732,1
104,144,37,1658,1
105,218,3,2255,1
106,144,59,1588,1
107,238,17,2624,1
108,216,26,2053,1
109,238,55,3257,1
110,141,47,1250,1
111,158,2,1284,1
112,239,65,3679,1
113,175,25,1816,1
114,263,41,2817,1
115,168,50,1616,1
116,176,36,1779,1
117,150,60,1024,1
118,265,31,2326,1
119,263,5,2947,1
120,145,20,1387,1
121,183,33,2741,1
122,205,19,2167,1
123,160,64,1714,1
124,252,48,2102,1
125,222,10,2280,1
126,203,25,3607,1
127,220,40,3516,1
